cluster,cluster_area
11,5554.6285537424292
21,247.96009396923375
22,142.13763479386768
23,162.43951237101822
24,210.93207043377032
31,202.99511442231739
32,197.27008520237237
33,128.43869644873271
34,71.590729502218579
41,544.70665854458662
42,423.0719694804086
43,428.49796605446153
61,308.56281323209936
62,616.6741387317627
71,166.78452969751461
72,73.185527400627748
73,110.1011541272605
81,146.74572733416551
82,363.54247820677892
83,126.82773676951707
84,152.15046986672641
85,295.94086795324608
86,373.30570666752288
87,193.45369531609907
88,293.6795074810347
89,414.09277052203777
91,491.43217089276277
92,873.95281181766541
93,1237.4930528934865
101,1213.0830972751969
102,765.21494467700461
111,379.44045463487976
112,308.14856355244871
113,261.2937725100623
121,519.647330549917
122,412.89887827472876
123,344.59777842321245
124,115.40910937766864
125,235.07848030341006
126,355.16340400021022
127,302.06469965080237
128,289.10876039528898
131,653.14916604018276
132,618.43290796267104
133,400.89096342867327
134,692.10559869277984
141,1670.1796144856842
142,575.9918342444945
151,1004.2813848596446
152,631.98595367646499
161,424.89190719035832
162,256.96117019948252
163,504.65114843778514
164,227.65116545863185
165,378.98351064351345
166,211.61383153183777
171,95.530797086674028
172,423.10800293863434
173,164.45332601034821
181,313.98696116556829
182,246.93287917256646
183,238.14930340466469
184,405.73047500541276
191,665.8468614510216
192,581.76878699735687
201,118.95904857349446
202,150.01755924882886
203,113.44166361786324
204,79.193246803298862
211,440.57838538341781
212,422.57472580305063
221,244.69438223463422
222,421.15544698140326
223,354.52027443432422
231,786.93966602479748
232,712.71980725115554
233,694.26690609917114
234,628.80483538143471
235,635.12921971752496
241,447.2118934364683
242,174.30349805526726
243,515.92326932269305
251,897.35375470960832
252,810.4752569425973
253,368.38542431338198
254,1426.163489952552
255,497.98836610187413
261,1258.260079435893
262,1427.1335626077475
271,286.2819641491443
272,366.87716659022669
281,510.44631060060874
282,676.47055528853173
283,1015.1821851203709
284,772.85011700798043
285,314.25162225224216
291,983.51598625758493
292,1344.234797536426
293,979.23419925216672
294,1181.3797471528787
295,891.99477514580212
301,1519.6422322941464
302,867.46513113709329
303,806.6405449976279
311,256.45717451971984
312,276.59971442226396
313,964.43265643823293
314,271.04884908505795
315,434.39469731106135
316,453.80925177915395
317,419.23403820036356
318,132.77626817840104
321,493.05208052250771
322,1108.5182719957572
323,938.7621424442616
331,78.735865626415531
332,79.57815642100563
341,141.64939871730886
342,233.11509749923789
351,94.985975132939757
352,255.78213075212608
353,83.499959009419911
361,787.14248858448605
362,372.64049312681129
363,296.27811178105645
364,773.2479479246316
381,359.46185094716463
382,418.87070571106835
391,81.744533468215963
392,102.13061594649207
393,71.343678742129441
394,159.2407473879193
395,74.410848401173652
396,116.91445087100283
397,122.79995470634471
401,324.33143373120225
402,340.7484096774046
403,672.8378190797755
407,5498.1674647943028
421,412.5602248333177
422,364.46582765321352
423,210.79162156919469
431,74.341709382901271
432,216.17178409777591
441,527.40831562965354
442,541.00783738146242
443,203.18081081573976
444,101.47714858380267
445,121.11431129076792
446,275.77526248735592
447,634.39600620972749
451,1643.5645353548209
452,623.77777041232889
453,709.45626119464464
461,251.82071490343586
462,1868.4283565467183
471,111.87010700636337
472,258.50131024284889
473,135.6311710949816
474,95.295681322414666
475,78.415604276384343
476,229.19235144973359
481,1350.4896864742254
482,1190.8881041833731
491,424.6839736361585
492,1851.6360393203338
501,1366.4264709472593
502,823.55629949937531
511,498.43669548467369
512,87.583780388329231
513,392.53574128983314
514,597.2604287683763
521,198.57560090517987
522,190.4671305959464
523,494.11430425800899
524,343.85067049811573
525,281.15176612304299
526,346.52431053476369
527,502.5058522487634
531,146.28239721102977
532,532.6892044345359
541,476.5727813926614
542,369.10902042402722
543,431.40009366236887
551,454.0031408658412
552,520.66129963365404
561,278.84045849214925
562,108.23955305459371
563,201.05868015791296
571,499.68377214073303
572,462.50823549665336
581,304.34505608261617
582,180.90221592306773
583,368.44304595961
584,335.80402517496577
591,1267.9179325338769
592,510.53678276303481
593,389.37118960201326
594,540.37494795049975
595,718.50138776666029
601,402.38824446002468
602,184.59902591397199
603,506.84069329134496
611,1455.5142410955941
612,413.77912329146375
613,986.35482668344889
614,472.91396142676911
615,731.5187036993658
621,1442.712607279303
622,1380.0409395977194
631,365.97276621662542
632,291.11236212896108
641,2240.4367021375638
642,918.90813485761464
651,1409.1268941137373
652,1625.6509693157375
653,2081.3300521156043
661,685.54345818442835
662,662.90425639450837
663,1316.6961559096801
664,377.97114630585071
671,1271.8092999485307
672,1596.4317420728348
673,320.81494352588601
681,1020.2747922746455
682,296.36943384558805
683,443.78314164277481
684,328.92477211865105
685,415.39658855292555
691,45.462681256229814
692,68.86784924170091
693,78.862302858883012
701,148.93764291064886
702,215.5684515218922
711,130.08530347844885
712,86.440313710751028
713,104.30061984462991
721,1108.0222242355435
722,1185.532723014152
